受験番号,国語の点数,数学の点数,英語の点数,国語,社会,数学,理科,音楽,美術,保健・体育,技術・家庭,英語,素点,記録点,記録換算点,総合点,合否,順位

3,100,100,100,5,5,5,5,5,5,5,5,5,300,45,700,1000,1,1
10,90,80,60,4,5,5,4,3,5,4,5,5,230,40,622,852,1,2
2,80,90,10,3,3,5,4,5,4,5,3,2,180,34,537,717,1,3
1,50,30,40,4,4,2,3,4,5,5,4,5,120,36,542,662,1,4
5,70,60,50,3,3,2,4,3,2,4,5,3,180,29,448,628,1,5
6,30,50,90,2,5,4,1,1,5,1,3,5,170,27,414,584,0,6
7,50,50,50,3,3,3,3,3,3,3,3,3,150,27,420,570,0,7
8,60,20,80,5,1,2,4,5,3,4,1,1,160,26,405,565,0,8
4,20,10,0,1,2,1,4,3,5,2,1,3,30,22,342,372,0,9
9,10,10,10,1,1,1,1,1,1,1,1,1,30,9,140,170,0,10
